Animal,Symptoms,Disease
Sheep,"Sudden death, Diarrhoea, Bloody diarrhoea, Abdominal pain, Bloat, Depression",Enterotoxaemia
Cow,"Sudden death, Dehydration, Bloody diarrhoea",Rinderpest
Cow,"Reduced milk yield, High fever, Swollen lymph nodes, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Cow,"Abdominal pain, Sudden death, Bloat",Enterotoxaemia
Goat,"Swollen lymph nodes, High fever, Sudden death, Nasal discharge, Rapid breathing, Difficulty breathing, Weakness, Depression",East Coast Fever
Buffalo,"Difficulty breathing, Rapid breathing, High fever, Depression, Facial swelling, Lameness, Jaw swelling",Blue Tongue
Goat,"Dark urine, Yellow urine, Lethargy, Pale mucous membranes, Weakness, High fever, Anaemia, Depression",Babesiosis
Cow,"Skin nodules, Swollen lymph nodes, Skin lesions, Nasal discharge",Sheep and Goat Pox
Goat,"Skin nodules, Skin lesions, Scratching, Hair loss, Restlessness, Weight loss, Dullness, Itching",Mange
Sheep,"Nasal discharge, Sneezing, Depression, Cough, Eye discharge",Bovine Rhinotracheitis
Cow,"Reduced movement, Lameness, High fever, Depression, Reduced milk yield, Swollen joints, Sudden fever, Dullness",Bovine Ephemeral Fever
Cow,"Nasal discharge, Eye discharge, Fever, Skin lesions, Skin nodules, Loss of appetite, Depression, Swollen lymph nodes",Sheep and Goat Pox
Cow,"Rapid breathing, Jaw swelling, Difficulty breathing, Facial swelling, Nasal discharge, Sudden death, High fever, Depression",Haemorrhagic Septicaemia
Goat,"Dark urine, Yellow urine, Pale mucous membranes, Depression",Babesiosis
Cow,"Convulsions, Recumbency, Rapid breathing, Incoordination",Tetanus
Buffalo,"Eye discharge, Neurological signs, Paralysis, Incoordination",Listeriosis
Sheep,"Depression, Itching, Hair loss, Weight loss, Skin lesions",Ringworm
Sheep,"Dehydration, Lethargy, Diarrhoea",Calf Scour
Sheep,"Stillbirth, Depression, Reduced fertility, Weakness, Fever, Abortion, Infertility, Swollen joints",Brucellosis
Cow,"Incoordination, Recumbency, Fever, Eye discharge, Paralysis",Listeriosis
Cow,"Convulsions, Recumbency, Incoordination",Tetanus
Sheep,"Skin nodules, Reduced milk yield, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Cow,"Depression, Dehydration, Bloat, Bloody diarrhoea, Abdominal pain, Convulsions, Sudden death",Enterotoxaemia
Sheep,"Jaw swelling, Facial swelling, Lameness",Blue Tongue
Buffalo,"Swollen lymph nodes, Pale mucous membranes, Anaemia, Lethargy, Depression, Weight loss, Weakness, High fever",Theileriosis
Goat,"Diarrhoea, Weight loss, Reduced milk yield",Johne’s Disease
Cow,"Eye discharge, Cough, Sneezing",Bovine Rhinotracheitis
Buffalo,"Rapid breathing, Nasal discharge, Jaw swelling, Sudden death, Depression, Difficulty breathing, Facial swelling",Haemorrhagic Septicaemia
Cow,"Rapid breathing, Facial swelling, Jaw swelling",Haemorrhagic Septicaemia
Goat,"Depression, Lethargy, Weight loss, Weakness, Anaemia, Pale mucous membranes, Yellow urine, Fever",Anaplasmosis
Sheep,"Reduced milk yield, Loss of appetite, Diarrhoea, Weight loss",Johne’s Disease
Buffalo,"Jaw swelling, Nasal discharge, Facial swelling, High fever, Rapid breathing",Haemorrhagic Septicaemia
Sheep,"Recumbency, Convulsions, Incoordination",Tetanus
Cow,"Skin lesions, Weight loss, Hair loss, Depression, Dullness, Loss of appetite, Itching",Ringworm
Cow,"Depression, Facial swelling, Difficulty breathing, Rapid breathing, Lameness, Jaw swelling, Nasal discharge",Blue Tongue
Sheep,"Rapid breathing, Sudden death, Swollen lymph nodes",East Coast Fever
Goat,"Depression, Reduced milk yield, Sudden fever, High fever, Swollen joints, Reduced movement",Bovine Ephemeral Fever
Sheep,"Rapid breathing, Swollen lymph nodes, Sudden death",East Coast Fever
Sheep,"Itching, Hair loss, Skin lesions",Ringworm
Goat,"Swollen lymph nodes, Lethargy, Anaemia",Theileriosis
Goat,"Dullness, Weight loss, Weakness, Bloody diarrhoea, Dehydration, Diarrhoea",Coccidiosis
Cow,"Rapid breathing, Jaw swelling, Facial swelling, Lameness",Blue Tongue
Goat,"Hoof lesions, Cracked hooves, Lameness, Fever",Foot Rot
Sheep,"Convulsions, Diarrhoea, Depression, Sudden death, Bloat, Abdominal pain, Dehydration, Bloody diarrhoea",Enterotoxaemia
Buffalo,"Cough, Sneezing, Eye discharge",Bovine Rhinotracheitis
Cow,"Rapid breathing, Incoordination, Restlessness, Recumbency, Convulsions",Tetanus
Buffalo,"Cough, Dehydration, Diarrhoea, Difficulty breathing",Peste des Petits Ruminants
Sheep,"Sudden fever, Reduced movement, Swollen joints",Bovine Ephemeral Fever
Sheep,"Skin lesions, Itching, Hair loss, Dullness",Ringworm
Cow,"Lethargy, Weight loss, Swollen lymph nodes, Anaemia",Theileriosis
Goat,"Bloody diarrhoea, Sudden death, Dehydration",Rinderpest
Buffalo,"Depression, Dehydration, Weakness, Dullness, Loss of appetite, Weight loss, Reduced milk yield, Diarrhoea",Johne’s Disease
Cow,"Restlessness, Neurological signs, Paralysis, Convulsions",Rabies
Sheep,"Loss of appetite, Anaemia, Reduced milk yield, Pale mucous membranes, Weight loss, Depression",Fascioliasis
Sheep,"Swollen lymph nodes, Depression, Fever, Loss of appetite, Nasal discharge, Eye discharge, Skin nodules, Skin lesions",Sheep and Goat Pox
Cow,"Scratching, Skin lesions, Itching, Hair loss",Ringworm
Sheep,"Skin lesions, Swollen lymph nodes, Skin nodules, Loss of appetite, Eye discharge, Nasal discharge, Depression, Fever",Sheep and Goat Pox
Buffalo,"Fever, Pale mucous membranes, Weakness, Depression, Yellow urine, Anaemia, Weight loss, Lethargy",Anaplasmosis
Buffalo,"Weight loss, Pale mucous membranes, Dehydration, Anaemia, Reduced milk yield",Fascioliasis
Buffalo,"High fever, Lameness, Reduced movement, Swollen joints, Sudden fever, Dullness, Reduced milk yield",Bovine Ephemeral Fever
Cow,"Depression, High fever, Weakness, Lethargy, Dark urine, Yellow urine, Pale mucous membranes, Anaemia",Babesiosis
Cow,"Facial swelling, High fever, Rapid breathing, Nasal discharge, Jaw swelling",Haemorrhagic Septicaemia
Sheep,"Facial swelling, Rapid breathing, Jaw swelling",Haemorrhagic Septicaemia
Goat,"Swollen joints, Recumbency, High fever, Reduced movement, Chest pain, Grunting sound, Sudden fever",Black Quarter
Goat,"Sudden death, Bloat, Abdominal pain, Diarrhoea, Convulsions, Bloody diarrhoea, Dehydration",Enterotoxaemia
Cow,"Paralysis, Depression, Eye discharge, Recumbency, Neurological signs, Incoordination",Listeriosis
Buffalo,"Depression, Loss of appetite, Abortion, Weakness, Fever, Reduced fertility, Infertility, Stillbirth",Campylobacter Abortion
Sheep,"Blisters on feet, Blisters in mouth, Reduced milk yield, Lameness, Hoof lesions, Excess salivation",Foot and Mouth Disease
Buffalo,"Dehydration, Sudden death, High fever, Bloody diarrhoea, Loss of appetite, Weakness, Diarrhoea",Salmonellosis
Sheep,"Facial swelling, Jaw swelling, Lameness",Blue Tongue
Goat,"Neurological signs, Restlessness, Recumbency, Rapid breathing, Incoordination, Convulsions, Reduced movement",Tetanus
Sheep,"Foamy saliva, Weakness, High fever, Depression, Sudden death, Rapid breathing, Nasal bleeding, Sudden fever",Anthrax
Cow,"Eye discharge, Neurological signs, Incoordination, Fever, Depression, Paralysis, Recumbency, Loss of appetite",Listeriosis
Buffalo,"Abdominal pain, Bloat, Sudden death",Enterotoxaemia
Goat,"Stillbirth, Reduced fertility, Abortion",Campylobacter Abortion
Goat,"Diarrhoea, High fever, Bloody diarrhoea, Depression, Nasal discharge, Sudden death, Dehydration, Loss of appetite",Rinderpest
Sheep,"Dehydration, Bloody diarrhoea, Weakness, Loss of appetite, Weight loss, Dullness, Diarrhoea, Depression",Coccidiosis
Buffalo,"Difficulty breathing, High fever, Dehydration, Cough, Diarrhoea, Loss of appetite",Peste des Petits Ruminants
Cow,"Recumbency, Incoordination, Difficulty breathing, Convulsions, Neurological signs",Tetanus
Sheep,"Recumbency, Hoof lesions, Lameness, Reduced movement, Cracked hooves, Loss of appetite, Swollen joints",Foot Rot
Sheep,"Weight loss, Reduced milk yield, Weakness, Depression, Loss of appetite, Anaemia, Pale mucous membranes, Dehydration",Fascioliasis
Buffalo,"Reduced movement, Sudden fever, Dullness, Reduced milk yield, High fever, Lameness, Swollen joints",Bovine Ephemeral Fever
Buffalo,"Lethargy, Diarrhoea, Dehydration, Fever",Calf Scour
Sheep,"Neurological signs, Sudden death, Paralysis, Convulsions",Rabies
Cow,"Rapid breathing, Foamy saliva, Nasal bleeding, High fever, Sudden fever, Depression, Weakness, Sudden death",Anthrax
Buffalo,"Weakness, Diarrhoea, Anaemia, Depression, Dehydration",Amphistomiasis
Buffalo,"Dark urine, Yellow urine, Pale mucous membranes",Babesiosis
Sheep,"Weakness, Dullness, Weight loss, Bloody diarrhoea, Depression, Dehydration",Coccidiosis
Goat,"Lameness, Cracked hooves, Hoof lesions, Swollen joints",Foot Rot
Cow,"Incoordination, Paralysis, Recumbency, Eye discharge, Fever, Loss of appetite, Depression",Listeriosis
Sheep,"High fever, Loss of appetite, Dehydration, Diarrhoea, Difficulty breathing, Cough",Peste des Petits Ruminants
Cow,"Abortion, Stillbirth, Infertility, Depression, Fever, Weakness, Reduced fertility",Brucellosis
Goat,"Anaemia, Diarrhoea, Dehydration",Amphistomiasis
Cow,"Reduced milk yield, Painful udder, Udder swelling, Abnormal milk",Mastitis
Sheep,"Dullness, Skin lesions, Scratching, Itching, Skin nodules",Mange
Goat,"Lameness, Reduced movement, Sudden fever, Chest pain, High fever, Swollen joints, Grunting sound, Recumbency",Black Quarter
Cow,"Dehydration, Diarrhoea, Weight loss, Anaemia",Amphistomiasis
Buffalo,"Depression, Jaw swelling, Rapid breathing, Facial swelling",Haemorrhagic Septicaemia
Buffalo,"Neurological signs, Paralysis, Convulsions",Rabies
Sheep,"Recumbency, Reduced movement, Swollen joints, Grunting sound, Chest pain, High fever, Lameness",Black Quarter
Cow,"Depression, Reduced movement, Recumbency, Lethargy, Loss of appetite, Dullness, Incoordination, Weakness",Milk Fever
Buffalo,"Eye discharge, Swollen lymph nodes, Skin nodules, Skin lesions, Fever, Depression, Loss of appetite",Sheep and Goat Pox
Buffalo,"Stillbirth, Weakness, Abortion, Reduced fertility",Campylobacter Abortion
Goat,"Neurological signs, Convulsions, Paralysis",Rabies
Sheep,"Anaemia, Depression, Weakness, Fever, Yellow urine, Pale mucous membranes",Anaplasmosis
Cow,"Skin nodules, Nasal discharge, High fever, Swollen lymph nodes, Reduced milk yield, Skin lesions",Lumpy Skin Disease (Lumpy Virus)
Cow,"Difficulty breathing, Incoordination, Recumbency, Rapid breathing, Convulsions, Reduced movement",Tetanus
Sheep,"Dehydration, Loss of appetite, Diarrhoea, Anaemia",Amphistomiasis
Goat,"Loss of appetite, Depression, Fever, Diarrhoea, Weight loss, Dehydration, Lethargy",Calf Scour
Sheep,"Cough, Diarrhoea, Dehydration",Peste des Petits Ruminants
Cow,"Reduced fertility, Depression, Abortion, Stillbirth, Weakness",Campylobacter Abortion
Sheep,"Scratching, Hair loss, Skin lesions, Skin nodules, Itching",Mange
Goat,"Skin nodules, Swollen lymph nodes, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Cow,"Reduced movement, Grunting sound, Recumbency, Chest pain, Swollen joints",Black Quarter
Sheep,"Swollen joints, Infertility, Stillbirth, Reduced fertility, Abortion, Weakness",Brucellosis
Sheep,"Sudden death, High fever, Rapid breathing, Nasal bleeding, Foamy saliva",Anthrax
Cow,"Depression, Diarrhoea, Cough, High fever, Dehydration",Peste des Petits Ruminants
Goat,"Scratching, Dullness, Skin nodules, Itching",Mange
Goat,"Weakness, Anaemia, Depression, Lethargy, Yellow urine, Pale mucous membranes",Anaplasmosis
Goat,"Yellow urine, Pale mucous membranes, Anaemia, Weight loss, Weakness",Anaplasmosis
Cow,"Hair loss, Skin lesions, Itching",Ringworm
Goat,"High fever, Sudden death, Depression, Bloody diarrhoea",Salmonellosis
Cow,"Eye discharge, Difficulty breathing, Sneezing, Cough, Rapid breathing",Bovine Rhinotracheitis
Goat,"High fever, Swollen lymph nodes, Lameness, Skin nodules, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Depression, Bloody diarrhoea, High fever, Sudden death, Diarrhoea, Dehydration",Rinderpest
Sheep,"Skin nodules, Restlessness, Dullness, Weight loss, Itching, Scratching, Skin lesions, Hair loss",Mange
Sheep,"Blisters in mouth, Lameness, Fever, Excess salivation, Blisters on feet, Reduced milk yield, Drooling",Foot and Mouth Disease
Cow,"Weight loss, Skin lesions, Hair loss, Scratching, Itching, Skin nodules",Mange
Buffalo,"Swollen lymph nodes, Difficulty breathing, Rapid breathing, Sudden death",East Coast Fever
Goat,"Diarrhoea, Anaemia, Dehydration, Weakness",Amphistomiasis
Sheep,"High fever, Swollen joints, Depression, Reduced movement, Dullness, Sudden fever, Reduced milk yield",Bovine Ephemeral Fever
Goat,"Foamy saliva, Incoordination, Neurological signs, Sudden death, Convulsions, Paralysis, Restlessness",Rabies
Cow,"Reduced milk yield, High fever, Skin lesions, Skin nodules, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Udder swelling, Abnormal milk, Painful udder",Mastitis
Buffalo,"Neurological signs, Incoordination, Paralysis, Eye discharge",Listeriosis
Goat,"Swollen joints, Sudden fever, Reduced movement",Bovine Ephemeral Fever
Cow,"Depression, Bloody diarrhoea, Weakness, Dehydration, Weight loss, Dullness, Diarrhoea",Coccidiosis
Buffalo,"Weight loss, Dullness, Reduced milk yield, Loss of appetite, Weakness, Diarrhoea",Johne’s Disease
Sheep,"Sudden death, Depression, Facial swelling, Difficulty breathing, Jaw swelling, Rapid breathing, High fever",Haemorrhagic Septicaemia
Goat,"Loss of appetite, Diarrhoea, Lethargy, Fever, Dehydration, Weakness, Depression, Weight loss",Calf Scour
Buffalo,"Lameness, Reduced milk yield, Sudden fever, Dullness, Reduced movement, Depression, Swollen joints, High fever",Bovine Ephemeral Fever
Buffalo,"Recumbency, Fever, Cracked hooves, Hoof lesions, Lameness, Swollen joints, Reduced movement",Foot Rot
Cow,"Recumbency, Lethargy, Reduced movement, Incoordination, Weakness",Milk Fever
Buffalo,"High fever, Lameness, Difficulty breathing, Facial swelling, Depression, Rapid breathing, Jaw swelling",Blue Tongue
Sheep,"Swollen lymph nodes, High fever, Depression, Anaemia, Lethargy",Theileriosis
Buffalo,"Depression, Infertility, Abortion, Reduced fertility, Fever, Stillbirth, Loss of appetite",Campylobacter Abortion
Goat,"Blisters on feet, Fever, Blisters in mouth, Excess salivation, Lameness, Reduced milk yield",Foot and Mouth Disease
Sheep,"Diarrhoea, Dehydration, Loss of appetite, Dullness, Weakness, Anaemia, Weight loss",Amphistomiasis
Sheep,"Dehydration, High fever, Sudden death, Bloody diarrhoea, Depression",Rinderpest
Sheep,"Lethargy, Anaemia, Swollen lymph nodes",Theileriosis
Sheep,"Nasal discharge, Sudden death, Rapid breathing, Weakness, Depression, Swollen lymph nodes, High fever",East Coast Fever
Buffalo,"Bloody diarrhoea, Loss of appetite, Dullness, Depression, Weight loss",Coccidiosis
Goat,"Udder swelling, Abnormal milk, Depression, Weakness, Fever, Loss of appetite, Painful udder, Reduced milk yield",Mastitis
Cow,"Weight loss, Pale mucous membranes, Anaemia, Fever, Yellow urine, Weakness",Anaplasmosis
Buffalo,"Fever, Infertility, Loss of appetite, Stillbirth, Abortion, Weakness, Reduced fertility, Depression",Campylobacter Abortion
Goat,"Cracked hooves, Swollen joints, Lameness, Hoof lesions",Foot Rot
Goat,"Nasal discharge, Cough, Fever, Eye discharge, Depression, Sneezing",Bovine Rhinotracheitis
Sheep,"Lameness, Cracked hooves, Hoof lesions, Loss of appetite, Swollen joints, Reduced movement",Foot Rot
Buffalo,"Cough, Eye discharge, Nasal discharge, Fever, Difficulty breathing, Sneezing, Depression, Rapid breathing",Bovine Rhinotracheitis
Sheep,"Dullness, Weight loss, Itching, Hair loss, Depression, Skin lesions, Loss of appetite, Scratching",Ringworm
Sheep,"Loss of appetite, Dehydration, Weakness, Depression, Weight loss, Diarrhoea, Lethargy, Fever",Calf Scour
Sheep,"Hair loss, Itching, Depression, Skin lesions, Loss of appetite, Weight loss, Scratching",Ringworm
Cow,"Loss of appetite, Abortion, Reduced fertility, Depression, Stillbirth, Fever, Infertility, Weakness",Campylobacter Abortion
Goat,"Skin nodules, Nasal discharge, Swollen lymph nodes, Eye discharge, Reduced milk yield, Skin lesions, Lameness",Lumpy Skin Disease (Lumpy Virus)
Cow,"Reduced milk yield, Dehydration, Anaemia, Weakness, Depression, Weight loss",Fascioliasis
Sheep,"Eye discharge, Cough, Sneezing",Bovine Rhinotracheitis
Goat,"Lameness, Reduced milk yield, Swollen lymph nodes, Eye discharge, Nasal discharge, High fever, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Goat,"Swollen joints, Grunting sound, Chest pain",Black Quarter
Buffalo,"Swollen lymph nodes, Depression, Weakness, Pale mucous membranes, Lethargy, Anaemia",Theileriosis
Goat,"Stillbirth, Infertility, Abortion",Brucellosis
Sheep,"Grunting sound, Chest pain, Swollen joints",Black Quarter
Cow,"Depression, Reduced milk yield, Abnormal milk, Painful udder, Fever, Udder swelling",Mastitis
Cow,"Diarrhoea, Anaemia, Weakness, Dehydration, Depression, Dullness",Amphistomiasis
Goat,"Hair loss, Skin nodules, Itching, Skin lesions, Dullness, Restlessness, Scratching",Mange
Sheep,"Swollen lymph nodes, Weight loss, Anaemia, Lethargy, Pale mucous membranes, High fever",Theileriosis
Goat,"Paralysis, Eye discharge, Neurological signs, Incoordination, Depression",Listeriosis
Goat,"Cough, Sneezing, Fever, Eye discharge, Depression, Rapid breathing",Bovine Rhinotracheitis
Cow,"Abortion, Stillbirth, Fever, Infertility",Brucellosis
Cow,"Diarrhoea, Bloody diarrhoea, Weight loss, Dehydration, Dullness",Coccidiosis
Sheep,"High fever, Sudden fever, Recumbency, Swollen joints, Reduced movement, Lameness, Chest pain, Grunting sound",Black Quarter
Sheep,"Paralysis, Neurological signs, Incoordination, Convulsions, Sudden death",Rabies
Cow,"Cracked hooves, Recumbency, Lameness, Reduced movement, Hoof lesions",Foot Rot
Goat,"Lameness, Hoof lesions, Cracked hooves, Swollen joints, Loss of appetite",Foot Rot
Buffalo,"Pale mucous membranes, Fever, Weakness, Yellow urine, Anaemia",Anaplasmosis
Goat,"Hair loss, Skin lesions, Loss of appetite, Itching",Ringworm
Cow,"Recumbency, Incoordination, Convulsions",Tetanus
Sheep,"Dehydration, Reduced milk yield, Loss of appetite, Diarrhoea, Dullness, Weight loss, Weakness, Depression",Johne’s Disease
